genre,title,year,rating,votes,providers,imdb_link
Action,Inside Furioza,2025,6.6,59,Netflix,https://www.imdb.com/title/tt36265413/
Action,The Lost Princess,2025,6.3,35,Amazon Prime Video,https://www.imdb.com/title/tt14830912/
Action,Lokah Chapter 1: Chandra,2025,7.1,26,Hulu,https://www.imdb.com/title/tt33372494/
Action,Mantis,2025,6.1,98,Netflix,https://www.imdb.com/title/tt33312131/
Action,War 2,2025,5.4,39,Netflix,https://www.imdb.com/title/tt27425164/
Action,Eenie Meanie,2025,6.3,237,Hulu,https://www.imdb.com/title/tt15514498/
Adventure,The Lost Princess,2025,6.3,35,Amazon Prime Video,https://www.imdb.com/title/tt14830912/
Adventure,Lokah Chapter 1: Chandra,2025,7.1,26,Hulu,https://www.imdb.com/title/tt33372494/
Adventure,The Rats: A Witcher Tale,2025,5.0,58,Netflix,https://www.imdb.com/title/tt28283547/
Adventure,War 2,2025,5.4,39,Netflix,https://www.imdb.com/title/tt27425164/
Animation,Dr. Seuss's The Sneetches,2025,7.5,4,Netflix,https://www.imdb.com/title/tt37677952/
Animation,LEGO Frozen: Operation Puffins,2025,6.4,11,Disney Plus,https://www.imdb.com/title/tt38607240/
Animation,The Twits,2025,6.3,58,Netflix,https://www.imdb.com/title/tt0498396/
Comedy,Caramelo,2025,7.7,169,Netflix,https://www.imdb.com/title/tt32549601/
Comedy,Good News,2025,7.1,36,Netflix,https://www.imdb.com/title/tt33550069/
Comedy,27 Nights,2025,6.4,23,Netflix,https://www.imdb.com/title/tt38095263/
Comedy,Groom & Two Brides,2025,0.0,0,Netflix,https://www.imdb.com/title/tt35713227/
Comedy,The Twits,2025,6.3,58,Netflix,https://www.imdb.com/title/tt0498396/
Comedy,Eenie Meanie,2025,6.3,237,Hulu,https://www.imdb.com/title/tt15514498/
Comedy,Maintenance Required,2025,5.9,110,Amazon Prime Video,https://www.imdb.com/title/tt33335602/
Crime,Inside Furioza,2025,6.6,59,Netflix,https://www.imdb.com/title/tt36265413/
Crime,Play Dirty,2025,6.6,421,Amazon Prime Video,https://www.imdb.com/title/tt18392014/
Crime,Mantis,2025,6.1,98,Netflix,https://www.imdb.com/title/tt33312131/
Crime,The Woman in Cabin 10,2025,6.2,588,Netflix,https://www.imdb.com/title/tt7130300/
Crime,Ballad of a Small Player,2025,5.9,142,Netflix,https://www.imdb.com/title/tt32063098/
Drama,Frankenstein,2025,7.8,279,Netflix,https://www.imdb.com/title/tt1312221/
Drama,Our Fault,2025,7.5,478,Amazon Prime Video,https://www.imdb.com/title/tt33311244/
Drama,Caramelo,2025,7.7,169,Netflix,https://www.imdb.com/title/tt32549601/
Drama,Tyler Perry's Finding Joy,2025,6.5,11,Amazon Prime Video,https://www.imdb.com/title/tt31193547/
Drama,Mango,2025,6.6,6,Netflix,https://www.imdb.com/title/tt33293169/
Drama,The Rats: A Witcher Tale,2025,5.0,58,Netflix,https://www.imdb.com/title/tt28283547/
Drama,Hedda,2025,5.2,42,Amazon Prime Video,https://www.imdb.com/title/tt27953589/
Drama,Ballad of a Small Player,2025,5.9,142,Netflix,https://www.imdb.com/title/tt32063098/
Family,Dr. Seuss's The Sneetches,2025,7.5,4,Netflix,https://www.imdb.com/title/tt37677952/
Family,LEGO Frozen: Operation Puffins,2025,6.4,11,Disney Plus,https://www.imdb.com/title/tt38607240/
Family,The Twits,2025,6.3,58,Netflix,https://www.imdb.com/title/tt0498396/
Fantasy,Frankenstein,2025,7.8,279,Netflix,https://www.imdb.com/title/tt1312221/
Fantasy,Lokah Chapter 1: Chandra,2025,7.1,26,Hulu,https://www.imdb.com/title/tt33372494/
Fantasy,LEGO Frozen: Operation Puffins,2025,6.4,11,Disney Plus,https://www.imdb.com/title/tt38607240/
Fantasy,The Twits,2025,6.3,58,Netflix,https://www.imdb.com/title/tt0498396/
Fantasy,The Rats: A Witcher Tale,2025,5.0,58,Netflix,https://www.imdb.com/title/tt28283547/
History,Good News,2025,7.1,36,Netflix,https://www.imdb.com/title/tt33550069/
Horror,Frankenstein,2025,7.8,279,Netflix,https://www.imdb.com/title/tt1312221/
Horror,Baramulla,2025,0.0,0,Netflix,https://www.imdb.com/title/tt29247040/
Horror,Host,2025,6.0,18,Amazon Prime Video,https://www.imdb.com/title/tt38624355/
Horror,The Elixir,2025,6.0,121,Netflix,https://www.imdb.com/title/tt32643830/
Horror,V/H/S/Halloween,2025,6.3,132,Shudder,https://www.imdb.com/title/tt37676033/
Horror,Vicious,2025,6.0,153,Paramount Plus,https://www.imdb.com/title/tt31511689/
Mystery,The Woman in Cabin 10,2025,6.2,588,Netflix,https://www.imdb.com/title/tt7130300/
Mystery,Ballad of a Small Player,2025,5.9,142,Netflix,https://www.imdb.com/title/tt32063098/
Romance,Our Fault,2025,7.5,478,Amazon Prime Video,https://www.imdb.com/title/tt33311244/
Romance,Groom & Two Brides,2025,0.0,0,Netflix,https://www.imdb.com/title/tt35713227/
Romance,Mango,2025,6.6,6,Netflix,https://www.imdb.com/title/tt33293169/
Romance,Hedda,2025,5.2,42,Amazon Prime Video,https://www.imdb.com/title/tt27953589/
Romance,Maintenance Required,2025,5.9,110,Amazon Prime Video,https://www.imdb.com/title/tt33335602/
Thriller,Inside Furioza,2025,6.6,59,Netflix,https://www.imdb.com/title/tt36265413/
Thriller,A House of Dynamite,2025,6.4,644,Netflix,https://www.imdb.com/title/tt32376165/
Thriller,Good News,2025,7.1,36,Netflix,https://www.imdb.com/title/tt33550069/
Thriller,Mantis,2025,6.1,98,Netflix,https://www.imdb.com/title/tt33312131/
Thriller,The Elixir,2025,6.0,121,Netflix,https://www.imdb.com/title/tt32643830/
Thriller,War 2,2025,5.4,39,Netflix,https://www.imdb.com/title/tt27425164/
Thriller,V/H/S/Halloween,2025,6.3,132,Shudder,https://www.imdb.com/title/tt37676033/
Thriller,Eenie Meanie,2025,6.3,237,Hulu,https://www.imdb.com/title/tt15514498/
Thriller,Hedda,2025,5.2,42,Amazon Prime Video,https://www.imdb.com/title/tt27953589/
Thriller,The Woman in Cabin 10,2025,6.2,588,Netflix,https://www.imdb.com/title/tt7130300/
Thriller,The Hand That Rocks the Cradle,2025,5.7,50,Hulu,https://www.imdb.com/title/tt33502160/
Thriller,Ballad of a Small Player,2025,5.9,142,Netflix,https://www.imdb.com/title/tt32063098/
Thriller,Vicious,2025,6.0,153,Paramount Plus,https://www.imdb.com/title/tt31511689/
